Location,Indicator,Subject,Measure,Year,Month,Frequency,Value
JPN,HUR,MEN,PC_LF,2020,02,M,2.6
JPN,HUR,MEN,PC_LF,2020,03,M,2.7
JPN,HUR,MEN,PC_LF,2020,04,M,2.9
JPN,HUR,MEN,PC_LF,2020,05,M,3.2
JPN,HUR,MEN,PC_LF,2020,06,M,3.1
JPN,HUR,MEN,PC_LF,2020,07,M,3.0
JPN,HUR,MEN,PC_LF,2020,08,M,3.0
JPN,HUR,MEN,PC_LF,2020,09,M,3.2
JPN,HUR,MEN,PC_LF,2020,10,M,3.4
COL,HUR,WOMEN,PC_LF,2020,01,M,13.427579999999999
COL,HUR,WOMEN,PC_LF,2020,02,M,14.400039999999999
COL,HUR,WOMEN,PC_LF,2020,03,M,15.68767
COL,HUR,WOMEN,PC_LF,2020,04,M,24.95421
COL,HUR,WOMEN,PC_LF,2020,05,M,25.59659
COL,HUR,WOMEN,PC_LF,2020,06,M,25.667460000000002
COL,HUR,WOMEN,PC_LF,2020,07,M,25.52422
COL,HUR,WOMEN,PC_LF,2020,08,M,22.14578
COL,HUR,WOMEN,PC_LF,2020,09,M,21.881439999999998
KOR,HUR,MEN,PC_LF,2020,01,M,3.9
KOR,HUR,MEN,PC_LF,2020,02,M,3.4
KOR,HUR,MEN,PC_LF,2020,03,M,3.8
KOR,HUR,MEN,PC_LF,2020,04,M,3.8
KOR,HUR,MEN,PC_LF,2020,05,M,4.5
KOR,HUR,MEN,PC_LF,2020,06,M,4.3
KOR,HUR,MEN,PC_LF,2020,07,M,4.1
KOR,HUR,MEN,PC_LF,2020,08,M,3.0
KOR,HUR,MEN,PC_LF,2020,09,M,3.8
KOR,HUR,MEN,PC_LF,2020,10,M,4.2
CAN,HUR,WOMEN,PC_LF,2020,01,M,5.3
CAN,HUR,WOMEN,PC_LF,2020,02,M,5.3
CAN,HUR,WOMEN,PC_LF,2020,03,M,8.7
CAN,HUR,WOMEN,PC_LF,2020,04,M,13.4
CAN,HUR,WOMEN,PC_LF,2020,05,M,14.0
CAN,HUR,WOMEN,PC_LF,2020,06,M,12.7
CAN,HUR,WOMEN,PC_LF,2020,07,M,10.4
CAN,HUR,WOMEN,PC_LF,2020,08,M,9.5
CAN,HUR,WOMEN,PC_LF,2020,09,M,8.5
CAN,HUR,WOMEN,PC_LF,2020,10,M,8.5
CHL,HUR,WOMEN,PC_LF,2020,01,M,8.848982000000001
CHL,HUR,WOMEN,PC_LF,2020,02,M,9.137551
CHL,HUR,WOMEN,PC_LF,2020,03,M,9.60645
CHL,HUR,WOMEN,PC_LF,2020,04,M,10.837019999999999
CHL,HUR,WOMEN,PC_LF,2020,05,M,11.475999999999999
CHL,HUR,WOMEN,PC_LF,2020,06,M,12.11181
CHL,HUR,WOMEN,PC_LF,2020,07,M,11.9247
CHL,HUR,WOMEN,PC_LF,2020,08,M,11.63326
CHL,HUR,WOMEN,PC_LF,2020,09,M,11.47171
ISR,HUR,MEN,PC_LF,2020,01,M,3.471664
ISR,HUR,MEN,PC_LF,2020,02,M,3.0556229999999998
ISR,HUR,MEN,PC_LF,2020,03,M,3.719643
ISR,HUR,MEN,PC_LF,2020,04,M,4.014578
ISR,HUR,MEN,PC_LF,2020,05,M,4.473848
ISR,HUR,MEN,PC_LF,2020,06,M,4.9801
ISR,HUR,MEN,PC_LF,2020,07,M,4.945076
ISR,HUR,MEN,PC_LF,2020,08,M,5.217221
ISR,HUR,MEN,PC_LF,2020,09,M,5.06386
ISR,HUR,MEN,PC_LF,2020,10,M,5.204149
JPN,HUR,WOMEN,PC_LF,2020,01,M,2.2
JPN,HUR,WOMEN,PC_LF,2020,02,M,2.2
JPN,HUR,WOMEN,PC_LF,2020,03,M,2.2
JPN,HUR,WOMEN,PC_LF,2020,04,M,2.3
JPN,HUR,WOMEN,PC_LF,2020,05,M,2.5
JPN,HUR,WOMEN,PC_LF,2020,06,M,2.5
JPN,HUR,WOMEN,PC_LF,2020,07,M,2.7
JPN,HUR,WOMEN,PC_LF,2020,08,M,2.9
JPN,HUR,WOMEN,PC_LF,2020,09,M,2.7
JPN,HUR,WOMEN,PC_LF,2020,10,M,2.7
